ptime,npass,olng,olat,dlng,dlat,dist,dtime
2016-05-01 22:10:34,1,-73.94608306884766,40.80710220336913,-73.94044494628906,40.7897834777832,1.7,2016-05-01 22:18:29
2016-05-01 22:11:15,1,-73.94522094726562,40.808006286621094,-73.93592834472656,40.82208633422852,1.1,2016-05-01 22:15:52
2016-05-01 22:11:30,1,-73.95268249511719,40.808197021484375,-73.98445129394531,40.76153945922852,4.18,2016-05-01 22:26:12
2016-05-01 22:11:31,1,-73.95561218261719,40.80426406860352,-73.9450912475586,40.81010055541992,1.32,2016-05-01 22:18:57
2016-05-01 22:11:35,1,-73.94283294677734,40.79504776000977,-74.00148010253906,40.74127960205078,7.31,2016-05-01 22:36:43
2016-05-01 22:11:48,1,-73.95320892333984,40.807472229003906,-73.94267272949219,40.816986083984375,1.5,2016-05-01 22:21:53
2016-05-01 22:11:57,2,-73.95279693603516,40.80496597290039,-73.99467468261719,40.760196685791016,4.35,2016-05-01 22:29:51
2016-05-01 22:12:20,1,-73.94763946533203,40.78738403320313,-73.95281982421875,40.79925537109375,1.23,2016-05-01 22:17:14
2016-05-01 22:12:29,1,-73.93656158447266,40.80564880371094,-73.96115112304686,40.801246643066406,1.83,2016-05-01 22:21:36
2016-05-01 22:12:31,1,-73.9494400024414,40.807483673095696,-73.93817138671875,40.817527770996094,1.06,2016-05-01 22:17:51
2016-05-01 22:12:33,1,-73.95237731933594,40.81091690063477,-73.94112396240234,40.83920669555664,2.32,2016-05-01 22:20:41
2016-05-01 22:12:47,2,-73.93965911865234,40.80537033081055,-73.959228515625,40.81368637084961,1.18,2016-05-01 22:19:15
2016-05-01 22:13:10,1,-73.9510040283203,40.810489654541016,-73.94222259521484,40.818672180175774,0.8,2016-05-01 22:16:18
2016-05-01 22:13:28,1,-73.94861602783203,40.803672790527344,-73.94349670410156,40.810508728027344,0.54,2016-05-01 22:14:57
2016-05-01 22:13:53,1,-73.94511413574219,40.834068298339844,-73.9523696899414,40.798439025878906,2.85,2016-05-01 22:27:15
2016-05-01 22:13:58,1,-73.95904541015625,40.8148193359375,-73.93833923339844,40.850749969482415,3.25,2016-05-01 22:21:33
2016-05-01 22:14:08,1,-73.94583892822266,40.786075592041016,-73.9861068725586,40.7221565246582,6.01,2016-05-01 22:26:41
2016-05-01 22:14:14,1,-73.9509506225586,40.81044006347656,-73.94937133789062,40.82810974121094,1.72,2016-05-01 22:20:21
2016-05-01 22:14:31,1,-73.94570922851562,40.8076286315918,-73.93738555908203,40.828948974609375,2.31,2016-05-01 22:26:25
2016-05-01 22:14:33,1,-73.93775939941406,40.84829711914063,-73.94197082519531,40.82793426513672,1.82,2016-05-01 22:20:14
2016-05-01 22:14:42,1,-73.96562194824219,40.80603790283203,-73.93941497802734,40.80514144897461,2.04,2016-05-01 22:25:00
2016-05-01 22:15:01,1,-73.9537811279297,40.78814315795898,-73.95090484619139,40.81098175048828,2.11,2016-05-01 22:25:05
2016-05-01 22:15:20,1,-73.9517593383789,40.804500579833984,-73.96288299560547,40.79672622680664,1.09,2016-05-01 22:20:48
2016-05-01 22:15:27,1,-73.9521484375,40.78998565673828,-73.95470428466798,40.799224853515625,1.09,2016-05-01 22:21:59
2016-05-01 22:15:39,2,-73.95467376708984,40.789344787597656,-73.9546890258789,40.76955032348633,1.95,2016-05-01 22:24:05
2016-05-01 22:15:40,1,-73.95555877685547,40.81254959106445,-73.93921661376955,40.80499267578125,1.02,2016-05-01 22:20:31
2016-05-01 22:16:01,2,-73.94114685058594,40.81391143798828,-73.95240783691406,40.8006248474121,1.17,2016-05-01 22:21:03
2016-05-01 22:16:10,1,-73.93755340576173,40.80429458618164,-73.93661499023438,40.83020401000977,2.45,2016-05-01 22:21:45
2016-05-01 22:16:12,1,-73.9511489868164,40.81012725830078,-73.9293670654297,40.85379409790039,3.49,2016-05-01 22:26:45
2016-05-01 22:16:18,5,-73.95225524902342,40.78987884521485,-73.96612548828125,40.765113830566406,2.4,2016-05-01 22:26:41
2016-05-01 22:16:25,1,-73.96402740478516,40.80819320678711,-73.9594192504883,40.78002548217773,2.7,2016-05-01 22:28:06
2016-05-01 22:16:30,1,-73.95587158203125,40.80379867553711,-73.94083404541014,40.832366943359375,2.95,2016-05-01 22:32:08
2016-05-01 22:16:42,6,-73.94513702392578,40.80816268920898,-73.97213745117188,40.75656509399415,4.26,2016-05-01 22:32:34
2016-05-01 22:17:00,1,-73.94285583496094,40.78597259521485,-73.96877288818358,40.75779342651367,2.7,2016-05-01 22:30:13
2016-05-01 22:17:07,1,-73.9518051147461,40.82464218139648,-73.93821716308595,40.84733581542969,1.75,2016-05-01 22:25:03
2016-05-01 22:17:27,1,-73.95919799804686,40.80941009521485,-73.97573852539062,40.78940200805664,1.87,2016-05-01 22:24:42
2016-05-01 22:17:30,3,-73.95018005371094,40.7925033569336,-73.95586395263672,40.77240753173828,2.0,2016-05-01 22:23:58
2016-05-01 22:17:43,1,-73.94160461425781,40.798675537109375,-73.95054626464845,40.78642654418945,0.98,2016-05-01 22:20:31
2016-05-01 22:17:48,1,-73.94940185546875,40.793701171875,-73.95701599121094,40.80110168457031,0.73,2016-05-01 22:21:07
2016-05-01 22:17:48,1,-73.9541015625,40.80608367919922,-73.94824981689453,40.824466705322266,1.7,2016-05-01 22:25:07
2016-05-01 22:17:57,1,-73.95884704589844,40.815330505371094,-73.9405746459961,40.81630325317383,1.53,2016-05-01 22:26:49
2016-05-01 22:18:18,1,-73.95198822021484,40.78996658325195,-73.9740676879883,40.79129028320313,1.58,2016-05-01 22:25:42
2016-05-01 22:18:19,1,-73.95171356201173,40.80917739868164,-73.94401550292969,40.81999969482422,0.9,2016-05-01 22:22:08
2016-05-01 22:18:36,1,-73.9521942138672,40.79839324951172,-73.93881225585938,40.79238510131836,0.97,2016-05-01 22:24:56
