edge_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
105,47,44,65,41,56,47,58,54,58,53,65,55,74,56,55,47,56,50,60,53,50,54,42,44
106,3,1,4,1,3,1,1,3,2,1,1,3,3,4,2,1,1,1,4,5,2,3,2,8
107,13,7,26,23,15,20,9,12,12,17,10,17,8,13,15,21,16,29,17,20,15,17,8,13
108,21,14,14,18,15,17,21,20,28,22,12,19,19,21,14,4,18,15,19,10,17,19,23,6
109,4,4,5,4,8,7,4,6,6,5,3,3,8,4,4,5,3,4,6,3,5,6,3,5
110,21,28,20,17,18,12,9,11,4,5,12,10,14,14,9,14,13,10,11,17,13,10,12,6
111,5,11,5,65,61,21,16,50,35,5,61,5,33,20,21,85,31,81,70,81,61,5,85,52
112,4,12,19,22,27,16,20,27,20,19,23,19,26,15,23,22,13,25,19,14,13,13,12,28
113,55,5,11,65,34,56,38,50,50,98,35,23,48,53,30,7,22,56,34,81,29,70,59,20
114,15,6,41,36,34,21,21,28,19,38,16,10,13,14,24,4,12,5,5,11,7,9,9,23
115,8,1,11,10,7,8,8,7,11,11,9,10,7,8,9,13,10,12,10,12,9,10,13,8
116,9,13,14,16,16,14,13,15,12,11,14,12,11,12,11,14,10,12,11,12,8,11,11,13
117,39,21,15,4,33,28,39,36,36,34,44,35,24,38,45,62,23,59,35,58,31,50,13,26
118,16,14,15,19,14,13,11,15,21,20,10,14,14,15,13,10,13,13,14,13,12,14,17,7
119,7,3,28,30,28,18,25,23,23,31,19,32,22,24,29,27,17,37,22,26,16,22,12,17
120,25,23,35,22,30,21,31,29,23,28,35,29,39,30,29,25,30,27,32,28,27,29,22,23
121,2,1,8,7,7,4,3,7,11,2,5,5,5,4,3,10,7,6,7,1,7,4,1,11
122,7,7,22,5,18,9,16,15,8,30,18,12,14,12,12,26,15,25,12,4,18,21,14,16
123,14,10,18,18,12,16,20,26,24,21,22,25,25,19,22,21,12,9,18,18,17,13,6,19
124,9,12,18,15,19,13,12,14,16,10,13,15,11,15,15,13,9,11,15,11,11,10,9,12
125,23,27,28,13,6,17,7,19,28,23,19,26,26,20,24,23,25,26,19,19,19,27,33,16
126,12,18,3,3,11,14,17,23,16,19,4,14,9,17,15,4,3,4,9,8,12,3,10,11
127,34,19,33,24,25,25,31,42,41,47,29,36,40,30,30,9,31,16,29,37,35,29,19,24
128,16,20,25,12,6,15,11,25,24,20,17,23,23,18,21,20,22,23,17,17,11,24,19,14
129,30,28,29,25,9,12,4,19,19,22,14,27,19,20,17,11,17,18,27,22,24,27,36,16
130,18,22,23,20,22,19,17,22,32,31,16,21,21,24,19,15,20,21,22,20,19,22,31,13
131,8,7,8,10,7,8,6,7,7,10,9,7,7,8,9,9,5,12,10,12,9,11,14,11
132,13,19,21,24,25,22,20,19,25,17,22,24,17,25,22,21,19,18,24,18,12,17,11,11
133,63,48,29,43,49,65,63,58,84,89,71,80,56,61,73,65,45,83,23,62,44,53,17,23
134,10,16,9,19,17,18,15,20,14,22,16,18,18,20,13,26,16,16,20,19,23,11,9,16
135,8,2,5,7,9,7,5,3,6,7,1,7,6,5,7,5,8,9,7,6,6,6,6,4
136,5,2,6,6,2,8,2,9,13,3,2,12,9,9,11,4,11,8,9,14,6,10,15,7
137,13,13,30,27,9,36,14,34,49,47,42,33,33,36,30,28,31,39,33,24,22,27,44,20
138,2,2,2,7,4,8,10,11,14,19,14,10,15,10,12,11,12,7,13,12,12,3,2,5
139,14,11,16,29,10,20,12,33,33,32,23,18,31,24,28,27,29,16,23,37,26,20,27,15
140,13,12,12,16,12,11,9,12,18,14,9,12,12,13,11,8,11,11,17,14,10,12,16,10
141,12,11,21,12,25,22,15,19,19,16,16,10,27,14,13,14,11,16,20,18,15,20,11,14
142,9,10,11,11,10,11,9,12,8,13,13,11,11,10,8,11,11,17,12,15,14,12,8,10
143,7,6,4,4,6,5,3,3,4,5,5,2,4,4,4,4,3,5,2,1,3,4,8,3
144,16,25,35,17,53,35,37,35,47,45,39,45,42,32,28,20,38,44,47,48,14,10,28,25
145,10,14,2,6,5,8,2,12,12,17,9,9,12,9,9,10,11,12,9,14,5,3,21,7
146,7,6,6,5,7,4,5,6,6,8,4,6,6,6,5,5,5,6,8,7,7,6,8,5
147,20,18,19,27,29,33,29,38,37,31,32,36,36,28,33,15,34,29,27,32,20,27,19,17
148,14,23,24,21,28,20,18,23,33,32,20,22,22,17,20,19,21,26,23,16,20,23,40,14
149,7,12,13,11,9,13,12,11,15,10,13,11,11,15,13,9,11,9,14,11,8,10,7,6
150,36,31,23,57,49,71,48,64,64,39,45,46,43,47,46,25,57,33,45,56,42,62,41,37
151,3,4,7,11,2,20,19,12,12,17,15,12,12,9,11,30,8,12,2,10,4,2,10,6
152,2,9,1,3,3,4,1,6,6,7,4,4,6,4,5,5,5,3,6,7,4,6,6,4
153,11,10,11,9,13,6,8,10,10,14,7,10,10,11,9,9,9,10,15,12,13,10,13,9
154,21,20,14,11,20,15,15,19,14,19,16,14,19,11,17,16,9,18,14,14,24,14,36,29
155,4,2,3,2,2,3,4,5,5,7,11,6,4,2,3,3,3,5,3,3,4,5,5,3
156,4,2,7,5,2,6,10,14,13,11,11,7,9,10,8,3,8,3,4,8,5,7,6,6
157,10,9,9,11,11,10,9,9,9,12,11,8,8,6,8,7,8,10,12,10,11,9,6,9
158,28,51,38,37,41,38,52,50,67,45,57,48,46,66,41,55,49,39,29,47,33,34,30,28
159,32,15,95,29,41,50,70,45,65,53,38,46,48,47,46,63,51,76,45,47,28,50,57,38
160,10,12,13,10,15,11,9,13,18,17,11,12,12,13,11,10,11,14,17,14,11,12,16,9
161,20,19,14,25,20,27,25,35,50,34,29,33,33,25,30,22,45,47,6,24,23,27,17,29
162,15,4,20,5,3,11,4,14,11,7,12,7,13,8,17,11,8,14,3,10,3,9,4,14
163,21,19,29,4,2,11,2,10,14,3,8,5,19,8,17,2,6,3,2,11,2,13,34,21
164,9,2,2,5,3,7,4,10,9,9,11,11,4,9,8,4,7,9,8,9,3,13,4,3
165,6,4,3,8,6,6,5,7,9,13,15,12,9,11,9,9,8,5,5,16,5,17,8,6
166,5,3,9,6,3,8,14,13,19,15,16,9,12,14,11,4,12,5,5,11,6,9,8,3
167,24,41,43,31,30,27,32,27,22,30,18,30,31,31,39,21,9,32,24,25,24,24,27,27
168,45,40,45,46,40,44,51,49,49,42,55,63,45,33,47,64,47,57,49,60,47,39,48,40
169,7,6,8,11,5,9,6,24,13,7,14,17,23,19,13,5,11,8,16,13,9,17,11,14
170,8,9,9,18,9,16,11,17,15,13,12,14,9,18,17,20,8,8,9,9,16,29,15,35
171,3,30,14,23,20,24,16,30,20,28,16,31,22,32,27,11,19,30,30,21,36,30,33,31
172,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,1,1
173,4,4,4,6,6,7,6,8,8,7,7,8,8,6,7,3,7,4,6,7,4,6,4,4
