id,lng,lat
462,-74.004626,40.731003
463,-74.004575,40.724173
464,-74.004561,40.73401
465,-74.004558,40.706407
466,-74.00453,40.716287
467,-74.00446,40.730719
468,-74.004448,40.722718
469,-74.004439,40.705429
470,-74.004435,40.713996
471,-74.004416,40.742284
472,-74.00438,40.724055
473,-74.004373,40.719467
474,-74.004325,40.707834
475,-74.004303,40.730447
476,-74.004253,40.710166
477,-74.004244,40.733363
478,-74.004223,40.731128
479,-74.004221,40.752604
480,-74.004175,40.738134
481,-74.004168,40.74769
482,-74.004059,40.713135
483,-74.004039,40.707466
484,-74.004031,40.725513
485,-74.004026,40.716871
486,-74.003976,40.732915
487,-74.003969,40.742863
488,-74.003968,40.729879
489,-74.003929,40.720854
490,-74.003918,40.72004
491,-74.003874,40.738139
492,-74.003869,40.705793
493,-74.003866,40.737544
494,-74.003865,40.739418
495,-74.003861,40.738395
496,-74.00386,40.738753
497,-74.003837,40.710545
498,-74.00383,40.723449
499,-74.003797,40.753222
500,-74.003791,40.731893
501,-74.003768,40.722384
502,-74.00373,40.72625
503,-74.003714,40.736839
504,-74.003684,40.748355
505,-74.003657,40.729344
506,-74.003654,40.710964
507,-74.003638,40.713642
508,-74.003635,40.723682
509,-74.003583,40.73231
510,-74.003542,40.743448
511,-74.003533,40.717449
512,-74.003527,40.736178
513,-74.003512,40.720557
514,-74.003446,40.738756
515,-74.003445,40.726958
516,-74.003404,40.714151
517,-74.003376,40.725252
518,-74.003366,40.71079
519,-74.003364,40.708138
520,-74.003342,40.735539
521,-74.003299,40.731743
522,-74.003297,40.728713
523,-74.003259,40.720377
524,-74.003236,40.748974
525,-74.003155,40.727664
526,-74.003154,40.734896
527,-74.003139,40.731465
528,-74.003122,40.726878
529,-74.003116,40.744035
530,-74.003108,40.707671
531,-74.003099,40.728392
532,-74.003083,40.739077
533,-74.003053,40.713917
534,-74.003046,40.718026
535,-74.003032,40.733215
536,-74.003027,40.715592
537,-74.002982,40.723308
538,-74.002971,40.721995
539,-74.00297,40.734252
540,-74.002943,40.731136
541,-74.002819,40.730913
542,-74.00281,40.733611
543,-74.002808,40.728365
544,-74.002785,40.749592
545,-74.002768,40.739328
546,-74.002762,40.760176
547,-74.002744,40.707216
548,-74.002691,40.744622
549,-74.002619,40.72488
550,-74.0026,40.719903
551,-74.002572,40.733372
552,-74.002558,40.716181
553,-74.002538,40.718627
554,-74.002521,40.760085
555,-74.002513,40.727601
556,-74.002503,40.708846
557,-74.002476,40.739731
558,-74.002476,40.730337
559,-74.002428,40.755074
560,-74.002413,40.738767
561,-74.002391,40.73434
562,-74.00235,40.726496
563,-74.002332,40.750209
564,-74.002329,40.706708
565,-74.002265,40.745207
566,-74.00225,40.70652
567,-74.002221,40.720341
568,-74.002208,40.721621
569,-74.002199,40.729693
570,-74.002174,40.72293
571,-74.002149,40.728036
572,-74.002145,40.70815
573,-74.002136,40.737066
574,-74.002124,40.732841
575,-74.002112,40.715166
576,-74.002091,40.719153
577,-74.002078,40.716731
578,-74.002062,40.760713
579,-74.002033,40.73813
580,-74.002019,40.740444
581,-74.001972,40.73507
582,-74.001961,40.761295
583,-74.001948,40.736414
584,-74.001941,40.708253
585,-74.001936,40.755745
586,-74.001933,40.724552
587,-74.001884,40.719398
588,-74.001882,40.750828
589,-74.001812,40.745826
590,-74.001806,40.732949
591,-74.00177,40.735762
592,-74.001768,40.737675
593,-74.00175,40.707719
594,-74.001717,40.709439
595,-74.001693,40.735534
596,-74.001684,40.730581
597,-74.001683,40.715745
598,-74.001663,40.732318
