id,olng,olat,dlng,dlat,Ts,Tr,Cep,Tp,Td,WT,TD,D
2513,-73.991158,40.760563,-73.984459,40.749928000000004,436.99,3743,3743,3965.4300000000003,4402.42,222.4300000000003,-2.2737367544323206e-13,0.9999999999999994
2514,-74.004547,40.731121,-74.003975,40.752499,527.48,3746,3746,-1.0,-1.0,-1,-1,0.0
2515,-73.984123,40.737408,-73.97708100000001,40.752102,348.95,3748,3748,3841.5200000000013,4633.100000000001,93.52000000000135,442.62999999999994,2.2684625304484882
2516,-73.96719399999998,40.756786,-73.997231,40.762904999999996,903.79,3751,3751,4522.21,-1.0,771.21,-1,0.0
2517,-73.978363,40.759903,-74.004982,40.741046999999995,801.6,3755,3755,-1.0,-1.0,-1,-1,0.0
2518,-73.966248,40.764881,-73.96019,40.763805,226.95,3759,3759,4048.09,4275.04,289.09000000000015,-1.7053025658242404e-13,0.9999999999999992
2519,-74.004242,40.752121,-74.00640899999998,40.739670000000004,395.26,3760,3760,-1.0,-1.0,-1,-1,0.0
2520,-73.982956,40.739937,-73.976547,40.751827,266.67,3764,3764,3881.220000000001,4147.890000000001,117.22000000000116,5.684341886080802e-14,1.0000000000000002
2521,-73.985893,40.726826,-73.979454,40.717525,423.38,3767,3767,3976.9000000000005,4725.01,209.90000000000055,324.7299999999997,1.766994189616892
2522,-73.986,40.735283,-73.983398,40.766773,931.65,3771,3771,-1.0,-1.0,-1,-1,0.0
2523,-73.97545600000002,40.782051,-73.987015,40.762596,457.19,3773,3773,3978.6,4503.91,205.5999999999999,68.11999999999995,1.148997134670487
2524,-73.981064,40.72979,-73.98219300000002,40.738461,287.99,3777,3777,3980.54,4288.4,203.53999999999996,19.869999999999663,1.0689954512309443
2525,-74.00574499999998,40.725986,-73.991974,40.723976,449.76,3780,3780,4068.96,4758.67,288.96000000000004,239.95000000000005,1.5335067591604412
2526,-73.971634,40.757595,-73.95008100000003,40.780602,487.55,3780,3780,4060.59,4703.68,280.59000000000015,155.54000000000013,1.3190236898779615
2527,-73.990921,40.760826,-73.98893699999998,40.768741999999996,219.42,3780,3780,4066.23,4526.95,286.23,241.2999999999998,2.099717436879044
