scenario,demand starts,demand ends,demand number,fleet size,capacity,max wait (s),max wait (s),method,interval (s),service type,total service rate,served rate (finished),serving rate (in-car),mean wt,mean ivd,mean detour,mean ivt
1.0,2020-01-15_16:54,2020-01-15_16:56,0:01:28,runtime:,0.13,load (d):,0.75,load (t):,0.24,VWST:,14.4% (221),14.2% (218),0.2% (3),424.27,19.14,1.03,709.05
,,,,,,,,,,VWVT:,13.36% (205),13.22% (203),0.13% (2),745.64,83.28,1.1,835.86
Manhattan,2013-05-06 00:00:00,2013-05-06 05:39:00,1535 (10.0%),300,4 (1),300,600,OSP-SR,30,SWST:,71.86% (1103),71.66% (1100),0.2% (3),162.69,98.05,1.16,791.92
1.0,2020-01-15_16:55,2020-01-15_16:57,0:02:20,runtime:,0.21,load (d):,0.73,load (t):,0.24,VWST:,13.09% (201),12.9% (198),0.2% (3),424.91,17.38,1.03,688.86
,,,,,,,,,,VWVT:,15.05% (231),15.05% (231),0.0% (0),758.64,96.75,1.12,833.62
Manhattan,2013-05-06 00:00:00,2013-05-06 05:39:00,1535 (10.0%),300,4 (7),300,600,OSP-RO,30,SWST:,73.29% (1125),72.96% (1120),0.33% (5),160.84,105.69,1.16,799.13
1.0,2020-01-15_16:55,2020-01-15_16:58,0:02:24,runtime:,0.21,load (d):,0.75,load (t):,0.24,VWST:,12.44% (191),12.38% (190),0.07% (1),425.67,14.37,1.03,713.18
,,,,,,,,,,VWVT:,14.27% (219),14.14% (217),0.13% (2),751.64,87.62,1.11,801.76
Manhattan,2013-05-06 00:00:00,2013-05-06 05:39:00,1535 (10.0%),300,4 (7),300,600,OSP,30,SWST:,65.41% (1004),65.08% (999),0.33% (5),154.39,96.16,1.16,786.82
1.0,2020-01-15_16:58,2020-01-15_17:00,0:02:06,runtime:,0.19,load (d):,0.8,load (t):,0.18,VWST:,3.13% (48),3.06% (47),0.07% (1),321.71,76.09,1.11,754.49
,,,,,,,,,,VWVT:,2.02% (31),2.02% (31),0.0% (0),182.03,471.01,1.57,1475.81
Manhattan,2013-05-06 00:00:00,2013-05-06 05:39:00,1535 (10.0%),300,4 (1),300,600,OSP-SR,30,SWST:,63.45% (974),63.06% (968),0.39% (6),154.8,100.11,1.15,781.48
1.0,2020-01-15_16:58,2020-01-15_17:00,0:02:09,runtime:,0.19,load (d):,0.79,load (t):,0.18,VWST:,4.17% (64),4.17% (64),0.0% (0),329.82,67.81,1.1,762.79
,,,,,,,,,,VWVT:,2.87% (44),2.87% (44),0.0% (0),241.94,408.03,1.56,1379.63
Manhattan,2013-05-06 00:00:00,2013-05-06 05:39:00,1535 (10.0%),300,4 (7),300,600,OSP-RO,30,SWST:,65.21% (1001),64.82% (995),0.39% (6),154.89,109.12,1.16,812.38
